 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
  136  sysHZComb1136                          1.7869   +/-   0.8775        :N:M:D
  137  sysHZComb1137                         -2.0085   +/-   0.8837        :N:M:D
  138  sysHZComb1138                          0.9836   +/-   0.9203        :N:M:D
  139  sysHZComb1139                         -1.2384   +/-   0.9401        :N:M:D
  140  sysHZComb1140                         -0.7349   +/-   0.9577        :N:M:D
  141  sysHZComb1141                         -0.3265   +/-   0.9703        :N:M:D
  142  sysHZComb1142                          1.4797   +/-   0.8608        :N:M:D
  143  sysHZComb1143                          0.2600   +/-   0.8552        :N:M:D
  144  sysHZComb1144                          1.4366   +/-   0.8416        :N:M:D
  145  sysHZComb1145                         -0.0839   +/-   0.9857        :N:M:D
  146  sysHZComb1146                         -0.0409   +/-   0.9894        :N:M:D
  147  sysHZComb1147                         -0.8926   +/-   0.8036        :N:M:D
  148  sysHZComb1148                         -0.2596   +/-   0.7882        :N:M:D
  149  sysHZComb1149                         -0.5032   +/-   0.7653        :N:M:D
  150  sysHZComb1150                         -0.8383   +/-   0.7879        :N:M:D
  151  sysHZComb1151                         -0.7021   +/-   0.9622        :N:M:D
  152  sysHZComb1152                          1.4484   +/-   0.7354        :N:M:D
  153  sysHZComb1153                         -1.1015   +/-   0.8352        :N:M:D
  154  sysHZComb1154                         -2.1461   +/-   0.8114        :N:M:D
  155  sysHZComb1155                          2.3722   +/-   0.8151        :N:M:D
  156  sysHZComb1156                          0.1566   +/-   0.9163        :N:M:D
