#nx=3 [3.00000000000E+01,4.00000000000E+01] [4.00000000000E+01,6.00000000000E+01] [6.00000000000E+01,8.00000000000E+01] [8.00000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.20000000000E+02] [1.20000000000E+02,1.40000000000E+02] [1.40000000000E+02,1.60000000000E+02] [1.60000000000E+02,1.80000000000E+02] [1.80000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.20000000000E+02] [2.20000000000E+02,2.40000000000E+02] [2.40000000000E+02,2.60000000000E+02] [2.60000000000E+02,2.80000000000E+02] [2.80000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,5.50000000000E+02] [5.50000000000E+02,6.00000000000E+02] [6.00000000000E+02,7.00000000000E+02] [7.00000000000E+02,1.00000000000E+03] 
../LO/LOjob/108/00/WpJ.WpJ_LO.LO.ptj1.s10800.tab.gz 8.23537120088E-03 8.32988438956E-03 8.32642040262E-03 8.32940510965E-03 8.39226693172E-03 8.34660509327E-03 8.40597262555E-03 8.32633265664E-03 8.33219001007E-03 8.33498645888E-03 8.32523877491E-03 8.40065187086E-03 8.33861248511E-03 8.35832089287E-03 8.33072787581E-03 8.33935994593E-03 8.33370069989E-03 8.41629490147E-03 8.33227400846E-03 8.32340054707E-03 8.33078170345E-03 8.32302075188E-03
../LO/LOjob/033/00/WpJ.WpJ_LO.LO.ptj1.s3300.tab.gz 8.33173011407E-03 8.33552860961E-03 8.33598829175E-03 8.33113446984E-03 8.39905077892E-03 8.34522150046E-03 8.39766585279E-03 8.31108036103E-03 8.32039519925E-03 8.35510916806E-03 8.34282749898E-03 8.39666842522E-03 8.33637477923E-03 8.32803711419E-03 8.33241220856E-03 8.31928115458E-03 8.34603362314E-03 8.40347507600E-03 8.33000138798E-03 8.33161465533E-03 8.32879537302E-03 8.34523149467E-03
../LO/LOjob/075/00/WpJ.WpJ_LO.LO.ptj1.s7500.tab.gz 8.29744795117E-03 8.32135831768E-03 8.33146139896E-03 8.33777070716E-03 8.40708829481E-03 8.33144307925E-03 8.38643828306E-03 8.35190768846E-03 8.32914366234E-03 8.32491260692E-03 8.33318003033E-03 8.38879204494E-03 8.33743920256E-03 8.34208817862E-03 8.32265727949E-03 8.32454046944E-03 8.33609355537E-03 8.39996470808E-03 8.32913816400E-03 8.30245617390E-03 8.33142506822E-03 8.33838238382E-03
../LO/LOjob/071/00/WpJ.WpJ_LO.LO.ptj1.s7100.tab.gz 8.26907797286E-03 8.32140507285E-03 8.34343361427E-03 8.33271939590E-03 8.41272696517E-03 8.32986724759E-03 8.39507191811E-03 8.32251074605E-03 8.34249700080E-03 8.33169235392E-03 8.32446106735E-03 8.41708057683E-03 8.32984714848E-03 8.33141540103E-03 8.33462954625E-03 8.32895130848E-03 8.30936936189E-03 8.40700361368E-03 8.33155122651E-03 8.33051658810E-03 8.34286960886E-03 8.32897274112E-03
../LO/LOjob/021/00/WpJ.WpJ_LO.LO.ptj1.s2100.tab.gz 8.29204612938E-03 8.33962837983E-03 8.32625465909E-03 8.33998831343E-03 8.40486550921E-03 8.34825364081E-03 8.41251326701E-03 8.34594367276E-03 8.34679150188E-03 8.34144741592E-03 8.32746183457E-03 8.39715363101E-03 8.33432951062E-03 8.32886999803E-03 8.32625200460E-03 8.32372425193E-03 8.32066329650E-03 8.39841756863E-03 8.30767045776E-03 8.33797726011E-03 8.33381234656E-03 8.32398762345E-03
../LO/LOjob/063/00/WpJ.WpJ_LO.LO.ptj1.s6300.tab.gz 8.36146349206E-03 8.33853416986E-03 8.33128625318E-03 8.32825633878E-03 8.40806709998E-03 8.32562149604E-03 8.41443256821E-03 8.30569777230E-03 8.32425117569E-03 8.33101739046E-03 8.33326003740E-03 8.42294287916E-03 8.31361774482E-03 8.33195865913E-03 8.34076672803E-03 8.33580193787E-03 8.34596984841E-03 8.39834251093E-03 8.33904563555E-03 8.33147050084E-03 8.32170742848E-03 8.32284321807E-03
../LO/LOjob/051/00/WpJ.WpJ_LO.LO.ptj1.s5100.tab.gz 8.35018811092E-03 8.33201219162E-03 8.32830010967E-03 8.34215594660E-03 8.39431138071E-03 8.34059631376E-03 8.40680911553E-03 8.34523932540E-03 8.35323263527E-03 8.33107603806E-03 8.33632379851E-03 8.42330466608E-03 8.33946234748E-03 8.32169587145E-03 8.32432926313E-03 8.34236959155E-03 8.33569265454E-03 8.38824118406E-03 8.32645057398E-03 8.32187830353E-03 8.34325212404E-03 8.33517151278E-03
../LO/LOjob/114/00/WpJ.WpJ_LO.LO.ptj1.s11400.tab.gz 8.37649340688E-03 8.33733332008E-03 8.33379185449E-03 8.33293541750E-03 8.41828429572E-03 8.33254453854E-03 8.41523768791E-03 8.32683384318E-03 8.32957729539E-03 8.34088521971E-03 8.31316343121E-03 8.40418091654E-03 8.33452119654E-03 8.33930970072E-03 8.31763589814E-03 8.34005144628E-03 8.34089966033E-03 8.40881996169E-03 8.32636271269E-03 8.34437402734E-03 8.33487893608E-03 8.33442896636E-03
../LO/LOjob/110/00/WpJ.WpJ_LO.LO.ptj1.s11000.tab.gz 8.36929131103E-03 8.34114284256E-03 8.32722724200E-03 8.33281976566E-03 8.39504960669E-03 8.32286125529E-03 8.40745928201E-03 8.32575521088E-03 8.32049743881E-03 8.33809730141E-03 8.31945771907E-03 8.39931522938E-03 8.33391832603E-03 8.33745962507E-03 8.32910353506E-03 8.33379586455E-03 8.34188034981E-03 8.41845822084E-03 8.32747576665E-03 8.33576067397E-03 8.33438281722E-03 8.32324067884E-03
../LO/LOjob/058/00/WpJ.WpJ_LO.LO.ptj1.s5800.tab.gz 8.37033593584E-03 8.32530039963E-03 8.34099294253E-03 8.34160617852E-03 8.40447729241E-03 8.32786627533E-03 8.40588063244E-03 8.32420242786E-03 8.32347957466E-03 8.32485756846E-03 8.34445419620E-03 8.42202452972E-03 8.33566896293E-03 8.36398643430E-03 8.33242305026E-03 8.31263791281E-03 8.33169318936E-03 8.40279894010E-03 8.33157611040E-03 8.33262998621E-03 8.32733403844E-03 8.33646108116E-03
