 First iteration    4022.7291502854646             1138   3.5349113798642042     
After minimisation    4022.73  1138     3.535

  Partial chi2s 
Dataset    1   1529.85(-19.05)   377  HERA1+2 NCep 920                                
Dataset    2    111.99( -5.41)    70  HERA1+2 NCep 820                                
Dataset    3    317.41(-22.13)   254  HERA1+2 NCep 575                                
Dataset    4    357.25(-18.94)   204  HERA1+2 NCep 460                                
Dataset    5    719.08( -3.95)   159  HERA1+2 NCem                                    
Dataset    6    102.40( +1.10)    39  HERA1+2 CCep                                    
Dataset    7    105.01( -2.00)    42  HERA1+2 CCem                                    
Dataset    8      5.95( -0.77)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    844.92335063400390     
 Log penalty Chi2   -71.138730674061406     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
  175  emoms_6                               -0.0816   +/-   0.9984        :N:M:D
  176  ALumi2010                             -0.0738   +/-   0.8495        :N:M:D
After minimisation    1394.60  1138     1.225

  Partial chi2s 
Dataset    1    447.18( +9.11)   377  HERA1+2 NCep 920                                
Dataset    2     70.79( +0.25)    70  HERA1+2 NCep 820                                
Dataset    3    222.41( +1.56)   254  HERA1+2 NCep 575                                
Dataset    4    216.60( -0.58)   204  HERA1+2 NCep 460                                
Dataset    5    217.71( +0.33)   159  HERA1+2 NCem                                    
Dataset    6     45.38( +0.22)    39  HERA1+2 CCep                                    
Dataset    7     58.18( -1.80)    42  HERA1+2 CCem                                    
Dataset    8      6.64( +0.22)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    100.39442646118154     
 Log penalty Chi2    9.3175621563498900     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3937   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5902   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.4978   +/-   0.5566        :N:M:D
    4  sysHZComb1004                          0.3625   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.1620   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.0819   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1268   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0742   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0398   +/-   0.8994        :N:M:D
   10  sysHZComb1010                         -0.3492   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8304   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4058   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6137   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0334   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.2042   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0612   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2465   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1958   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3706   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3260   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0460   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1515   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1302   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0763   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1180   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8268   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.1578   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8502   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.6294   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.3554   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.6729   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.7089   +/-   0.9642        :N:M:D
   33  sysHZComb1033                          0.8114   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4470   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0356   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.6398   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.5111   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5955   +/-   0.9125        :N:M:D
   39  sysHZComb1039                         -0.6037   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.0657   +/-   0.9301        :N:M:D
   41  sysHZComb1041                         -0.5700   +/-   0.8121        :N:M:D
   42  sysHZComb1042                         -0.1248   +/-   0.8743        :N:M:D
   43  sysHZComb1043                          0.1215   +/-   0.9095        :N:M:D
   44  sysHZComb1044                         -0.0462   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4806   +/-   0.9310        :N:M:D
   46  sysHZComb1046                         -0.1146   +/-   0.9569        :N:M:D
   47  sysHZComb1047                          0.2777   +/-   0.9469        :N:M:D
   48  sysHZComb1048                          0.0227   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.6335   +/-   0.9459        :N:M:D
   50  sysHZComb1050                          0.5032   +/-   0.9429        :N:M:D
   51  sysHZComb1051                          0.4495   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.9105   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.8942   +/-   0.9191        :N:M:D
   54  sysHZComb1054                         -0.0676   +/-   0.9749        :N:M:D
   55  sysHZComb1055                         -1.5146   +/-   0.9055        :N:M:D
   56  sysHZComb1056                         -1.5118   +/-   0.8903        :N:M:D
   57  sysHZComb1057                          0.1444   +/-   0.9194        :N:M:D
   58  sysHZComb1058                          0.1592   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -0.9813   +/-   0.8698        :N:M:D
   60  sysHZComb1060                          0.1578   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1046   +/-   0.9830        :N:M:D
   62  sysHZComb1062                         -1.3348   +/-   0.8948        :N:M:D
   63  sysHZComb1063                          0.7530   +/-   0.8363        :N:M:D
   64  sysHZComb1064                          0.6868   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.8336   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7083   +/-   0.9319        :N:M:D
   67  sysHZComb1067                         -0.2917   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.3992   +/-   0.9199        :N:M:D
   69  sysHZComb1069                         -0.0345   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          0.3459   +/-   0.9073        :N:M:D
   71  sysHZComb1071                         -1.3004   +/-   0.8572        :N:M:D
   72  sysHZComb1072                         -0.0654   +/-   0.9702        :N:M:D
   73  sysHZComb1073                         -0.1358   +/-   0.9036        :N:M:D
   74  sysHZComb1074                         -0.1780   +/-   0.9351        :N:M:D
   75  sysHZComb1075                         -0.0516   +/-   0.8651        :N:M:D
   76  sysHZComb1076                         -0.0158   +/-   0.9605        :N:M:D
   77  sysHZComb1077                         -0.6391   +/-   0.9611        :N:M:D
   78  sysHZComb1078                         -0.0908   +/-   0.9756        :N:M:D
   79  sysHZComb1079                         -0.2504   +/-   0.8842        :N:M:D
   80  sysHZComb1080                         -0.5250   +/-   0.9249        :N:M:D
   81  sysHZComb1081                         -0.1181   +/-   0.8872        :N:M:D
   82  sysHZComb1082                         -0.8139   +/-   0.8381        :N:M:D
   83  sysHZComb1083                         -1.3587   +/-   0.8902        :N:M:D
   84  sysHZComb1084                          0.3065   +/-   0.9683        :N:M:D
   85  sysHZComb1085                         -0.2402   +/-   0.8685        :N:M:D
   86  sysHZComb1086                         -0.0310   +/-   0.7917        :N:M:D
   87  sysHZComb1087                         -0.5771   +/-   0.8596        :N:M:D
   88  sysHZComb1088                          0.2392   +/-   0.9911        :N:M:D
   89  sysHZComb1089                         -0.0248   +/-   0.9609        :N:M:D
   90  sysHZComb1090                          0.7828   +/-   0.9428        :N:M:D
   91  sysHZComb1091                          0.7219   +/-   0.8870        :N:M:D
   92  sysHZComb1092                          0.1916   +/-   0.8088        :N:M:D
   93  sysHZComb1093                          0.0458   +/-   0.7903        :N:M:D
   94  sysHZComb1094                          0.0563   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.4643   +/-   0.8457        :N:M:D
   96  sysHZComb1096                          0.0688   +/-   0.8947        :N:M:D
   97  sysHZComb1097                          0.4463   +/-   0.9880        :N:M:D
   98  sysHZComb1098                          1.7152   +/-   0.7354        :N:M:D
   99  sysHZComb1099                         -0.8732   +/-   0.6834        :N:M:D
  100  sysHZComb1100                         -0.8192   +/-   0.6876        :N:M:D
  101  sysHZComb1101                         -0.1944   +/-   0.7720        :N:M:D
  102  sysHZComb1102                         -0.5437   +/-   0.9019        :N:M:D
  103  sysHZComb1103                          0.3856   +/-   0.7905        :N:M:D
  104  sysHZComb1104                         -1.2561   +/-   0.7939        :N:M:D
  105  sysHZComb1105                          1.0026   +/-   0.6950        :N:M:D
  106  sysHZComb1106                         -0.3031   +/-   0.7718        :N:M:D
  107  sysHZComb1107                          0.8130   +/-   0.7413        :N:M:D
  108  sysHZComb1108                          2.1728   +/-   0.6791        :N:M:D
  109  sysHZComb1109                          0.3899   +/-   0.9899        :N:M:D
  110  sysHZComb1110                         -0.8749   +/-   0.7031        :N:M:D
  111  sysHZComb1111                         -1.6918   +/-   0.5496        :N:M:D
  112  sysHZComb1112                          0.3074   +/-   0.9904        :N:M:D
  113  sysHZComb1113                          1.3425   +/-   0.8400        :N:M:D
  114  sysHZComb1114                          1.6570   +/-   0.8061        :N:M:D
  115  sysHZComb1115                          1.0156   +/-   0.7569        :N:M:D
  116  sysHZComb1116                         -0.2285   +/-   0.7728        :N:M:D
  117  sysHZComb1117                          0.3575   +/-   0.8228        :N:M:D
  118  sysHZComb1118                         -0.1951   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.3820   +/-   0.9749        :N:M:D
  120  sysHZComb1120                          0.9477   +/-   0.8552        :N:M:D
  121  sysHZComb1121                          0.2972   +/-   0.9900        :N:M:D
  122  sysHZComb1122                          0.1596   +/-   0.9329        :N:M:D
  123  sysHZComb1123                         -0.3416   +/-   0.9286        :N:M:D
  124  sysHZComb1124                         -1.1253   +/-   0.8624        :N:M:D
  125  sysHZComb1125                          0.8289   +/-   0.8723        :N:M:D
  126  sysHZComb1126                         -0.1748   +/-   0.9166        :N:M:D
  127  sysHZComb1127                         -0.0909   +/-   0.9236        :N:M:D
  128  sysHZComb1128                         -0.2376   +/-   0.9555        :N:M:D
  129  sysHZComb1129                          0.2577   +/-   0.8585        :N:M:D
  130  sysHZComb1130                         -0.0194   +/-   0.8075        :N:M:D
  131  sysHZComb1131                         -0.5201   +/-   0.7917        :N:M:D
  132  sysHZComb1132                         -0.4657   +/-   0.7899        :N:M:D
  133  sysHZComb1133                          0.3704   +/-   0.8225        :N:M:D
