 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   68  sysHZComb1068                         -2.1180   +/-   0.9221        :N:M:D
   69  sysHZComb1069                          4.3620   +/-   0.9142        :N:M:D
   70  sysHZComb1070                         -3.3987   +/-   0.9105        :N:M:D
   71  sysHZComb1071                         -4.2797   +/-   0.8647        :N:M:D
   72  sysHZComb1072                         -1.3787   +/-   0.9709        :N:M:D
   73  sysHZComb1073                          0.5504   +/-   0.9068        :N:M:D
   74  sysHZComb1074                         -3.8287   +/-   0.9374        :N:M:D
   75  sysHZComb1075                         -0.9246   +/-   0.8686        :N:M:D
   76  sysHZComb1076                          2.2827   +/-   0.9626        :N:M:D
   77  sysHZComb1077                         -6.3582   +/-   0.9628        :N:M:D
   78  sysHZComb1078                         -1.6266   +/-   0.9763        :N:M:D
   79  sysHZComb1079                         -5.8603   +/-   0.8907        :N:M:D
   80  sysHZComb1080                         -4.6151   +/-   0.9264        :N:M:D
   81  sysHZComb1081                         -3.6505   +/-   0.8897        :N:M:D
   82  sysHZComb1082                         -1.0764   +/-   0.8426        :N:M:D
   83  sysHZComb1083                          0.8011   +/-   0.8927        :N:M:D
   84  sysHZComb1084                         -0.5052   +/-   0.9681        :N:M:D
   85  sysHZComb1085                          2.2930   +/-   0.8723        :N:M:D
   86  sysHZComb1086                         11.5203   +/-   0.7965        :N:M:D
   87  sysHZComb1087                         -7.0780   +/-   0.8643        :N:M:D
   88  sysHZComb1088                          0.5682   +/-   0.9915        :N:M:D
   89  sysHZComb1089                          0.8733   +/-   0.9622        :N:M:D
   90  sysHZComb1090                          2.0300   +/-   0.9440        :N:M:D
   91  sysHZComb1091                          2.0438   +/-   0.8903        :N:M:D
   92  sysHZComb1092                         -6.4824   +/-   0.8192        :N:M:D
   93  sysHZComb1093                          2.3831   +/-   0.7997        :N:M:D
   94  sysHZComb1094                         -0.1477   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -3.7256   +/-   0.8470        :N:M:D
   96  sysHZComb1096                          4.6404   +/-   0.8951        :N:M:D
   97  sysHZComb1097                         -0.3709   +/-   0.9883        :N:M:D
   98  sysHZComb1098                          8.3272   +/-   0.7403        :N:M:D
   99  sysHZComb1099                         -2.7790   +/-   0.6913        :N:M:D
  100  sysHZComb1100                         -3.3215   +/-   0.6991        :N:M:D
  101  sysHZComb1101                          9.9495   +/-   0.7779        :N:M:D
  102  sysHZComb1102                         -0.0475   +/-   0.9037        :N:M:D
  103  sysHZComb1103                         -3.8814   +/-   0.7962        :N:M:D
  104  sysHZComb1104                          0.6586   +/-   0.8053        :N:M:D
  105  sysHZComb1105                         -7.3248   +/-   0.7086        :N:M:D
  106  sysHZComb1106                         -6.1545   +/-   0.7807        :N:M:D
  107  sysHZComb1107                         -1.2932   +/-   0.7486        :N:M:D
  108  sysHZComb1108                         -0.6416   +/-   0.6950        :N:M:D
  109  sysHZComb1109                          0.3719   +/-   0.9905        :N:M:D
  110  sysHZComb1110                        -10.2109   +/-   0.7169        :N:M:D
  111  sysHZComb1111                          1.2388   +/-   0.5636        :N:M:D
  112  sysHZComb1112                         -2.4999   +/-   0.9907        :N:M:D
  113  sysHZComb1113                          2.3164   +/-   0.8383        :N:M:D
  114  sysHZComb1114                         -1.5436   +/-   0.8125        :N:M:D
  115  sysHZComb1115                        -10.6024   +/-   0.7684        :N:M:D
  116  sysHZComb1116                          0.3118   +/-   0.7838        :N:M:D
  117  sysHZComb1117                          4.6733   +/-   0.8223        :N:M:D
  118  sysHZComb1118                          0.8523   +/-   0.9968        :N:M:D
  119  sysHZComb1119                         -0.0942   +/-   0.9760        :N:M:D
  120  sysHZComb1120                         -3.6855   +/-   0.8551        :N:M:D
  121  sysHZComb1121                         -1.0296   +/-   0.9905        :N:M:D
  122  sysHZComb1122                          5.8048   +/-   0.9344        :N:M:D
  123  sysHZComb1123                          3.5570   +/-   0.9309        :N:M:D
  124  sysHZComb1124                          3.2341   +/-   0.8681        :N:M:D
  125  sysHZComb1125                          2.3414   +/-   0.8737        :N:M:D
  126  sysHZComb1126                          0.6764   +/-   0.9248        :N:M:D
  127  sysHZComb1127                          3.0049   +/-   0.9272        :N:M:D
  128  sysHZComb1128                         -0.3895   +/-   0.9574        :N:M:D
  129  sysHZComb1129                         -0.2141   +/-   0.8635        :N:M:D
  130  sysHZComb1130                          0.7803   +/-   0.8172        :N:M:D
  131  sysHZComb1131                        -13.0502   +/-   0.7977        :N:M:D
  132  sysHZComb1132                         21.1306   +/-   0.7938        :N:M:D
  133  sysHZComb1133                         -7.3863   +/-   0.8309        :N:M:D
  134  sysHZComb1134                         -1.7570   +/-   0.9797        :N:M:D
