 First iteration    4258.4314728655290             1178   3.6149672944529110     
After minimisation    4258.43  1178     3.615

  Partial chi2s 
Dataset    1    556.48(+17.51)   377  HERA1+2 NCep 920                                
Dataset    2     69.27( +2.59)    70  HERA1+2 NCep 820                                
Dataset    3    243.57( +8.53)   254  HERA1+2 NCep 575                                
Dataset    4    225.54( +4.56)   204  HERA1+2 NCep 460                                
Dataset    5    244.16( -0.09)   159  HERA1+2 NCem                                    
Dataset    6     46.12( +0.18)    39  HERA1+2 CCep                                    
Dataset    7     61.22( -2.26)    42  HERA1+2 CCem                                    
Dataset    8      6.17( +0.35)     6  ATLAS DY mass 2010 extended data                
Dataset    9   2336.79( +0.00)    41  ATLAS 8 TeV $W^+$ +jets jet 1 rap               

 Correlated Chi2    437.74682476575651     
 Log penalty Chi2    31.368350012596036     
 Systematic shifts          227
  
                                Name          Shift   +/-    Error          Type
   75  sysHZComb1075                          0.0576   +/-   0.8650        :N:M:D
   76  sysHZComb1076                          0.2082   +/-   0.9601        :N:M:D
   77  sysHZComb1077                          0.2701   +/-   0.9609        :N:M:D
   78  sysHZComb1078                         -0.1220   +/-   0.9755        :N:M:D
   79  sysHZComb1079                         -0.4170   +/-   0.8831        :N:M:D
   80  sysHZComb1080                         -0.2585   +/-   0.9249        :N:M:D
   81  sysHZComb1081                         -0.2535   +/-   0.8874        :N:M:D
   82  sysHZComb1082                         -1.2591   +/-   0.8378        :N:M:D
   83  sysHZComb1083                         -2.3896   +/-   0.8902        :N:M:D
   84  sysHZComb1084                          0.2551   +/-   0.9684        :N:M:D
   85  sysHZComb1085                         -1.6838   +/-   0.8681        :N:M:D
   86  sysHZComb1086                         -1.5069   +/-   0.7914        :N:M:D
   87  sysHZComb1087                         -0.3695   +/-   0.8589        :N:M:D
   88  sysHZComb1088                          0.3954   +/-   0.9911        :N:M:D
   89  sysHZComb1089                         -0.4498   +/-   0.9608        :N:M:D
   90  sysHZComb1090                          0.0927   +/-   0.9428        :N:M:D
   91  sysHZComb1091                          0.6892   +/-   0.8868        :N:M:D
   92  sysHZComb1092                          2.3220   +/-   0.8077        :N:M:D
   93  sysHZComb1093                         -0.7349   +/-   0.7892        :N:M:D
   94  sysHZComb1094                          0.1535   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.3654   +/-   0.8460        :N:M:D
   96  sysHZComb1096                         -0.2010   +/-   0.8947        :N:M:D
   97  sysHZComb1097                          0.5641   +/-   0.9880        :N:M:D
   98  sysHZComb1098                          0.7688   +/-   0.7350        :N:M:D
   99  sysHZComb1099                          0.6204   +/-   0.6825        :N:M:D
  100  sysHZComb1100                         -0.2462   +/-   0.6865        :N:M:D
  101  sysHZComb1101                         -1.9666   +/-   0.7717        :N:M:D
  102  sysHZComb1102                         -1.4241   +/-   0.9018        :N:M:D
  103  sysHZComb1103                          2.3466   +/-   0.7900        :N:M:D
  104  sysHZComb1104                         -1.2558   +/-   0.7921        :N:M:D
  105  sysHZComb1105                          2.0706   +/-   0.6932        :N:M:D
  106  sysHZComb1106                          0.3622   +/-   0.7708        :N:M:D
  107  sysHZComb1107                          1.3261   +/-   0.7412        :N:M:D
  108  sysHZComb1108                          2.4257   +/-   0.6768        :N:M:D
  109  sysHZComb1109                          0.4590   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.3094   +/-   0.7009        :N:M:D
  111  sysHZComb1111                         -2.5559   +/-   0.5485        :N:M:D
  112  sysHZComb1112                          0.6151   +/-   0.9903        :N:M:D
